mode,prompt_type,id_,score,blip_caption
easy,simple,0,0.6257334351539612,smiling man in a suit and tie standing in front of a wall
easy,simple,1,0.6891770362854004,arafed man in a suit and tie standing in front of a wall
easy,simple,2,0.464837908744812,blonde woman in jeans and white shirt walking on sidewalk with skateboard
easy,simple,3,0.6679000854492188,arafed blonde woman with long hair posing for a picture
easy,simple,4,0.7766914963722229,araffed woman walking down the street with a purse in her hand
easy,simple,5,0.5421741604804993,blonde woman with long hair smiling and walking in a park
easy,simple,6,0.6844887733459473,arafed man in a suit and tie walking on a tennis court
easy,simple,7,0.8010537624359131,there is a man in a suit walking down the street
easy,simple,8,0.5881080031394958,smiling man in a black jacket and tie walking down a street
easy,simple,9,0.7317460179328918,there is a man in a suit and tie running down a set of stairs
easy,simple,10,0.577000081539154,blonde woman with long hair in motion with frisbee in hand
easy,simple,11,0.6720010638237,blonde woman with long hair in white shirt and jeans running
easy,simple,12,0.4908503293991089,arafed woman with long blonde hair and a necklace taking a selfie
easy,simple,13,0.5571372509002686,blonde woman in jeans and white shirt throwing a frisbee
easy,simple,14,0.6657278537750244,smiling man in suit and tie with hand on forehead
easy,simple,15,0.8250008821487427,there is a man in a suit and tie waving his hands
easy,simple,16,0.6444047093391418,arafed man in a suit talking on a cell phone
easy,simple,17,0.6658055782318115,there are two men in suits and ties posing for a picture
easy,simple,18,0.506041944026947,a close up of a woman with long hair and a necklace
easy,simple,19,0.4188031256198883,smiling woman with red lipstick and a necklace holding a cell phone
easy,simple,20,0.6100654602050781,arafed woman with long blonde hair and white shirt posing for a picture
easy,simple,21,0.4353284537792206,blonde woman with long hair standing in a field with trees
easy,simple,22,0.5680058002471924,arafed man in a suit and tie standing in front of a brown wall
easy,simple,23,0.6465634107589722,arafed man in a suit and tie standing in front of a wall
easy,simple,24,0.7615662813186646,there is a man in a suit and tie posing for a picture
easy,simple,25,0.841073751449585,there is a man in a suit jumping in the air
easy,simple,26,0.7233099341392517,arafed woman in jeans and red shoes jumping in the air
easy,simple,27,0.5947340130805969,blonde woman with blue jeans and white shirt throwing a frisbee
easy,simple,28,0.5480057001113892,blonde woman with long hair pointing at camera with a smile
easy,simple,29,0.6335241198539734,arafed woman with a bird in her hand and a necklace
easy,simple,30,0.6940492391586304,smiling man in a suit and tie with a watch on his wrist
easy,simple,31,0.6940492391586304,smiling man in a suit and tie with a watch on his wrist
easy,simple,32,0.7508395910263062,there is a man in a suit and tie posing for a picture
